,date,open,high,low,close,volume,average,barCount
149,2022-09-27 11:28:00,3632.89,3635.58,3632.31,3635.44,0.0,0.0,113
150,2022-09-27 11:30:00,3635.46,3636.29,3634.29,3634.35,0.0,0.0,107
151,2022-09-27 11:32:00,3634.36,3634.81,3631.58,3634.81,0.0,0.0,109
152,2022-09-27 11:34:00,3634.83,3639.26,3634.38,3639.26,0.0,0.0,112
153,2022-09-27 11:36:00,3639.25,3640.02,3637.75,3638.51,0.0,0.0,112
154,2022-09-27 11:38:00,3638.66,3648.25,3638.65,3647.42,0.0,0.0,116
155,2022-09-27 11:40:00,3647.5,3654.27,3647.5,3653.94,0.0,0.0,118
156,2022-09-27 11:42:00,3653.66,3653.98,3651.41,3651.52,0.0,0.0,114
157,2022-09-27 11:44:00,3651.62,3651.87,3648.25,3648.58,0.0,0.0,118
158,2022-09-27 11:46:00,3648.7,3649.25,3646.51,3647.69,0.0,0.0,109
159,2022-09-27 11:48:00,3647.77,3659.21,3647.77,3658.76,0.0,0.0,117
160,2022-09-27 11:50:00,3658.83,3658.83,3653.95,3655.42,0.0,0.0,112
161,2022-09-27 11:52:00,3655.44,3656.7,3655.11,3656.59,0.0,0.0,112
162,2022-09-27 11:54:00,3656.6,3656.66,3652.23,3653.06,0.0,0.0,111
163,2022-09-27 11:56:00,3653.1,3654.69,3652.47,3654.27,0.0,0.0,110
164,2022-09-27 11:58:00,3654.26,3655.85,3653.8,3654.16,0.0,0.0,109
165,2022-09-27 12:00:00,3654.14,3654.17,3643.89,3644.11,0.0,0.0,117
166,2022-09-27 12:02:00,3644.09,3648.86,3642.11,3648.13,0.0,0.0,115
167,2022-09-27 12:04:00,3648.35,3651.16,3647.81,3647.97,0.0,0.0,114
168,2022-09-27 12:06:00,3648.07,3650.5,3645.81,3649.02,0.0,0.0,115
169,2022-09-27 12:08:00,3648.89,3651.48,3647.71,3650.98,0.0,0.0,113
170,2022-09-27 12:10:00,3651.19,3651.19,3648.43,3649.79,0.0,0.0,110
171,2022-09-27 12:12:00,3649.59,3650.28,3648.45,3650.26,0.0,0.0,114
172,2022-09-27 12:14:00,3650.11,3651.4,3644.58,3645.62,0.0,0.0,119
173,2022-09-27 12:16:00,3645.68,3648.64,3642.58,3648.64,0.0,0.0,117
174,2022-09-27 12:18:00,3649.63,3651.53,3648.3,3651.53,0.0,0.0,113
175,2022-09-27 12:20:00,3651.59,3651.61,3646.0,3647.14,0.0,0.0,115
176,2022-09-27 12:22:00,3647.15,3650.41,3647.12,3650.41,0.0,0.0,117
177,2022-09-27 12:24:00,3650.67,3651.36,3644.07,3644.12,0.0,0.0,112
